159330,2D0660,2D0680,2D15E0,player,entity-sprites
2D15E0,3016C0,3016E0,301930,maria,entity-sprites
301930,339490,3394B0,3396E0,popuri,entity-sprites
3396E0,366970,366990,366BB0,elli,entity-sprites
366BB0,39BC60,39BC80,39BEC0,ann,entity-sprites
39BEC0,3D1860,3D1880,3D1AE0,karen,entity-sprites
3D1AE0,3EE430,3EE450,3EE670,baby,entity-sprites
3EE670,40D3F0,40D410,40D550,harris,entity-sprites
40D550,42A8D0,42A8F0,42AA40,gray,entity-sprites
42AA40,443840,443860,443990,jeff,entity-sprites
443990,45D230,45D250,45D380,cliff,entity-sprites
45D380,4772B0,4772D0,477410,kai,entity-sprites
477410,483D20,483D40,483E80,mayor,entity-sprites
483E80,48B570,48B590,48B620,mayor-wife,entity-sprites
48B620,4919B0,4919D0,491A40,lilia,entity-sprites
491A40,49EDA0,49EDC0,49EEF0,basil,entity-sprites
49EEF0,4A5D20,4A5D40,4A5D70,ellen,entity-sprites
4A5D70,4B1260,4B1280,4B13C0,doug,entity-sprites
4B13C0,4BC390,4BC3B0,4BC4A0,gotz,entity-sprites
4BC4A0,4C3220,4C3240,4C32C0,sasha,entity-sprites
4C32C0,4CD740,4CD760,4CD890,potion-shop-dealer,entity-sprites
4CD890,4DEF80,4DEFA0,4DF110,kent,entity-sprites
4DF110,4E85D0,4E85F0,4E86B0,stu,entity-sprites
4E86B0,4EFE00,4EFE20,4EFEB0,midwife,entity-sprites
4EFEB0,4F47F0,4F4810,4F4890,may,entity-sprites
4F4890,4FBFF0,4FC010,4FC140,rick,entity-sprites
4FC140,503AB0,503AD0,503BC0,pastor,entity-sprites
503BC0,518B00,518B20,518BB0,shipper,entity-sprites
518BB0,520D00,520D20,520DB0,saibara,entity-sprites
520DB0,5249E0,524A00,524AE0,duke,entity-sprites
524AE0,52F260,52F280,52F370,greg,entity-sprites
52F370,5488A0,5488C0,5489C0,assistant-carpenter,entity-sprites
5489C0,555460,555480,555570,master-carpenter,entity-sprites
555570,55A640,55A660,55A730,harvest-sprite,entity-sprites
55A730,560330,560350,5603D0,barley,entity-sprites
5603D0,5665C0,5665E0,566630,sydney,entity-sprites
566630,56ED20,56ED40,56EE30,entomologist,entity-sprites
56EE30,578CD0,578CF0,578D60,gourmet-judge,entity-sprites
578D60,583C30,583C50,583D40,photographer,entity-sprites
583D40,593730,593750,593840,shady-salesman,entity-sprites
593840,597040,597060,5970C0,mrs-mana-son,entity-sprites
5970C0,59CD00,59CD20,59CD90,mrs-mana,entity-sprites
59CD90,5A2580,5A25A0,5A26A0,old-man,entity-sprites
5A26A0,5A7910,5A7930,5A7A10,old-woman,entity-sprites
5A7A10,5AE6A0,5AE6C0,5AE7B0,tourist-couple-man,entity-sprites
5AE7B0,5B3AA0,5B3AC0,5B3BC0,tourist-couple-woman,entity-sprites
5B3BC0,5BA0C0,5BA0E0,5BA1D0,festival-girl-1,entity-sprites
5BA1D0,5C04E0,5C0500,5C0630,festival-girl-2,entity-sprites
5C0630,5C7F70,5C7F90,5C8110,festival-girl-3,entity-sprites
5C8110,5CB4D0,5CB4F0,5CB520,harvest-goddess,entity-sprites
5CB520,5CE500,5CE520,5CE540,spirit-festival-ocarina-performer,entity-sprites
5CE540,5CF260,5CF280,5CF2A0,kappa,entity-sprites
5CF2A0,5D1130,5D1150,5D11A0,princess,entity-sprites
5D11D0,5D5AF0,5D5B10,5D5BA0,bunny,entity-sprites
5D5BA0,5D8F80,5D8FA0,5D9090,mouse,entity-sprites
5D9090,5DF4B0,5DF4D0,5DF590,fox,entity-sprites
5DF590,5E5EA0,5E5EC0,5E5FF0,monkey,entity-sprites
5E5FF0,5EBE60,5EBE80,5EBFC0,hawk,entity-sprites
5EBFC0,5ECDD0,5ECDF0,5ECE40,mole,entity-sprites
5ECE40,5F1160,5F1180,5F1270,squirrel,entity-sprites
5F1270,5F5530,5F5550,5F55D0,yellow-bird,entity-sprites
5F55D0,5FD520,5FD540,5FD670,cat,entity-sprites
5FD670,60E7F0,60E810,60EC20,dog,entity-sprites
60EC20,630EC0,630EE0,631400,dog-title,entity-sprites
631400,64FAC0,64FAE0,64FCE0,horse-pony,entity-sprites
64FCE0,6AF5F0,6AF610,6AF8A0,horse-grown,entity-sprites
6AF8A0,6B3DE0,6B3E00,6B3F30,chick,entity-sprites
6B3F30,6BB590,6BB5B0,6BB880,chicken,entity-sprites
6BB880,6D3600,6D3620,6D3820,calf,entity-sprites
6D3820,6F5E10,6F5E30,6F6130,young-cow,entity-sprites
6F6130,76BCB0,76BCD0,76C1B0,cow,entity-sprites
76C1B0,775740,775760,7759C0,lamb,entity-sprites
7759C0,794C50,794C70,794F10,sheep,entity-sprites
794F10,797A60,797A80,797B70,frog,entity-sprites
797B70,79A6C0,79A6E0,79A7D0,crab,entity-sprites
79A7D0,79AC70,79AC90,79AD70,horned-beetle,entity-sprites
79AD70,79B210,79B230,79B310,stag-beetle,entity-sprites
